noise_config,Hits@1,MRR,Macro Precision,Macro Recall,Macro F1,Micro Precision,Micro Recall,Micro F1,Accuracy,Golden Accuracy
clean,0.4180304335343095,0.5378122728144361,0.9950085272786784,0.5008613264427217,0.49921143420239056,0.9900172265288545,0.9900172265288545,0.9900172265288545,0.9900172265288545,0.0017226528854435831
white_20.0,0.012058570198105082,0.05430571156737202,0.49499997128895373,0.49999709991096725,0.4974859871738456,0.9899942578237152,0.9899942578237152,0.9899942578237152,0.9899942578237152,0.0
white_15.0,0.012058570198105082,0.054323543375298856,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
white_10.0,0.010910134941142693,0.053722008021623774,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
white_5.0,0.010623026126902095,0.05432106926226241,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_20.0,0.010048808498420901,0.0535523757930853,0.4949999425775777,0.49999419982193455,0.49748453715339347,0.9899885156474304,0.9899885156474304,0.9899885156474304,0.9899885156474304,0.0
reverb_15.0,0.010910134941142693,0.0536845405396748,0.4949999569333069,0.4999956498664509,0.49748526216466554,0.9899913867355727,0.9899913867355727,0.9899913867355727,0.9899913867355727,0.0
reverb_10.0,0.011771461383864484,0.05362457037715193,0.4949999425775777,0.49999419982193455,0.49748453715339347,0.9899885156474304,0.9899885156474304,0.9899885156474304,0.9899885156474304,0.0
reverb_5.0,0.011484352569623888,0.053103977129043495,0.4949999425775777,0.49999419982193455,0.49748453715339347,0.9899885156474304,0.9899885156474304,0.9899885156474304,0.9899885156474304,0.0
