noise_config,Hits@1,MRR,Macro Precision,Macro Recall,Macro F1,Micro Precision,Micro Recall,Micro F1,Accuracy,Golden Accuracy
clean,0.9714774671990872,0.9857387335995437,0.9300785083415113,0.9999536020442451,0.9623877733036406,0.9999072570239788,0.9999072570239788,0.9999072570239788,0.9999072570239788,1.0
white_20.0,0.9720479178551056,0.9858100399315459,0.9347392912805589,0.9996719583128206,0.9649466623700884,0.9999140907169488,0.9999140907169488,0.9999140907169488,0.9999140907169488,0.9994295493439818
white_15.0,0.970907016543069,0.9852253280091272,0.9332010598246421,0.9993855933858982,0.9639418222190251,0.9999114874053412,0.9999114874053412,0.9999114874053412,0.9999114874053412,0.9988590986879635
white_10.0,0.9691956645750143,0.983986974710021,0.9369323939931149,0.995965982646839,0.9645790159520785,0.9999137653029978,0.9999137653029978,0.9999137653029978,0.9999137653029978,0.9920136908157444
white_5.0,0.9355390758699372,0.9603416160881952,0.9399905423004832,0.9206746360446671,0.9301155739387766,0.9998441267174941,0.9998441267174941,0.9998441267174941,0.9998441267174941,0.8414147176269253
reverb_20.0,0.9714774671990872,0.9856436584902073,0.9358528095474887,0.9999579976400534,0.9657069469283263,0.9999160432006545,0.9999160432006545,0.9999160432006545,0.9999160432006545,1.0
reverb_15.0,0.970907016543069,0.9853584331621981,0.9340929987321922,0.9996714699132863,0.9645765150841608,0.9999131144750959,0.9999131144750959,0.9999131144750959,0.9999131144750959,0.9994295493439818
reverb_10.0,0.970907016543069,0.9854535082715346,0.9338779946897687,0.9996713071134415,0.964453263409465,0.999912789061145,0.999912789061145,0.999912789061145,0.999912789061145,0.9994295493439818
reverb_5.0,0.9720479178551056,0.9860239589275528,0.9332674246169056,0.9999560440419164,0.9642259024107849,0.9999121382332431,0.9999121382332431,0.9999121382332431,0.9999121382332431,1.0
